ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,PRICE AFTER TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
CHCH ACHARI CHICKEN SEEKH KEBAB 1 KG,FROZEN FOOD (NON VEG),,16010000,BOX,10,CC,,196.43,220,12%,23.5716,INCLUSIVE,460,30,,,CHICKEN SEEKH ,,,580
CHCH AFGHANI CHICKEN SEEKH KEBAB 1 KG,FROZEN FOOD (NON VEG),,16010000,BOX,10,CC,,196.43,220,12%,23.5716,INCLUSIVE,460,30,,,CHICKEN SEEKH ,,,580
CHCH ANGARA CHICKEN SEEKH KEBAB 1 KG,FROZEN FOOD (NON VEG),,16010000,BOX,10,CC,,196.43,220,12%,23.5716,INCLUSIVE,460,30,,,CHICKEN SEEKH ,,,580
CHCH BLACK PEPPER CHICKEN SEEKH KEBAB 1 KG,FROZEN FOOD (NON VEG),,16010000,BOX,10,CC,,196.43,220,12%,23.5716,INCLUSIVE,460,30,,,CHICKEN SEEKH ,,,580
CHCH CHICKEN CLASSIS SEEKH KEBAB 1 KG,FROZEN FOOD (NON VEG),,16010000,BOX,10,CC,,196.43,220,12%,23.5716,INCLUSIVE,460,30,,,CHICKEN SEEKH ,,,580
